Date,Amount,Transaction Id,Transaction type,Transaction details,Balance*
15-Dec-17,-$4.99,,Test,Test,$125.36
15-Dec-17,-$3.50,,Test,Test,$130.35
14-Dec-17,-$31.95,,Test,Test,$133.85
14-Dec-17,-$4.20,,Test,Test,$165.80
14-Dec-17,-$647.75,,Test,Test,$170.00
14-Dec-17,-$647.75,,Test,Test,$817.75
14-Dec-17,-$922.13,,Test,Test,"$1,465.50"
14-Dec-17,$647.75,,Test,Test,"$2,387.63"
14-Dec-17,$922.13,,Test,Test,"$1,739.88"
14-Dec-17,$647.75,,Test,Test,$817.75
14-Dec-17,$170.00,,Test,Test,$170.00
6-Dec-17,-$10.95,,Test,Test,$0.00
6-Dec-17,-$9.00,,Test,Test,$10.95
6-Dec-17,-$35.49,,Test,Test,$19.95
6-Dec-17,-$178.35,,Test,Test,$55.44
6-Dec-17,$10.00,,Test,Test,$233.79
5-Dec-17,-$10.65,,Test,Test,$223.79
5-Dec-17,-$10.00,,Test,Test,$234.44
5-Dec-17,$160.00,,Test,Test,$244.44
4-Dec-17,-$4.70,,Test,Test,$84.44
4-Dec-17,-$10.90,,Test,Test,$89.14
4-Dec-17,-$3.70,,Test,Test,$100.04
4-Dec-17,-$18.27,,Test,Test,$103.74
4-Dec-17,-$135.00,,Test,Test,$122.01
4-Dec-17,$16.71,,Test,Test,$257.01
4-Dec-17,$10.00,,Test,Test,$240.30
4-Dec-17,$100.00,,Test,Test,$230.30
1-Dec-17,-$6.00,,Test,Test,$130.30
30-Nov-17,-$3.70,0,Test,Test,$136.30
29-Nov-17,-$770.00,0,Test,Test,$140.00
29-Nov-17,-$375.00,0,Test,Test,$910.00
29-Nov-17,-$50.00,0,Test,Test,"$1,285.00"
29-Nov-17,$41.18,0,Test,Test,"$1,335.00"
29-Nov-17,$140.00,0,Test,Test,"$1,293.82"
29-Nov-17,$375.00,0,Test,Test,"$1,153.82"
29-Nov-17,$770.00,0,Test,Test,$778.82
28-Nov-17,-$25.90,0,Test,Test,$8.82
28-Nov-17,-$5.28,0,Test,Test,$34.72
27-Nov-17,-$90.00,0,Test,Test,$40.00
27-Nov-17,-$66.60,0,Test,Test,$130.00
27-Nov-17,$80.00,0,Test,Test,$206.85
27-Nov-17,-$10.25,0,Test,Test,$196.60
23-Nov-17,-$35.45,0,Test,Test,$126.85
23-Nov-17,-$9.00,0,Test,Test,$162.30
23-Nov-17,$160.00,0,Test,Test,$174.80
23-Nov-17,-$3.50,0,Test,Test,$171.30
22-Nov-17,-$16.40,0,Test,Test,$14.80
20-Nov-17,-$70.00,0,Test,Test,$31.20
20-Nov-17,-$31.95,0,Test,Test,$101.20
20-Nov-17,-$12.60,0,Test,Test,$133.15
20-Nov-17,-$10.70,0,Test,Test,$145.75
20-Nov-17,$90.00,0,Test,Test,$159.95
20-Nov-17,-$3.50,0,Test,Test,$156.45
17-Nov-17,"-$1,355.80",0,Test,Test,$69.95
17-Nov-17,-$31.95,0,Test,Test,"$1,425.75"
